size,time
10000,0.002400
20000,0.005600
30000,0.008000
40000,0.013800
50000,0.017400
60000,0.019600
70000,0.019800
80000,0.022600
90000,0.028400
100000,0.028600
110000,0.031400
120000,0.032800
130000,0.037000
140000,0.041200
150000,0.046800
160000,0.047400
170000,0.053000
180000,0.054600
190000,0.063600
200000,0.061000
210000,0.064400
220000,0.067200
230000,0.072000
240000,0.072400
250000,0.074200
260000,0.084800
270000,0.085800
280000,0.087200
290000,0.089600
300000,0.099800
310000,0.104200
320000,0.100400
330000,0.110200
340000,0.121800
350000,0.119600
360000,0.125200
370000,0.124600
380000,0.132600
390000,0.131000
400000,0.137000
410000,0.133200
420000,0.140400
430000,0.145600
440000,0.146600
450000,0.150200
460000,0.172800
470000,0.162200
480000,0.170000
490000,0.174800
500000,0.183800
510000,0.175200
520000,0.187400
530000,0.180000
540000,0.187600
550000,0.200400
560000,0.190800
570000,0.202200
580000,0.205000
590000,0.221000
600000,0.211600
610000,0.218600
620000,0.216800
630000,0.223200
640000,0.225200
650000,0.236800
660000,0.231000
670000,0.252600
680000,0.248000
690000,0.242200
700000,0.246400
710000,0.251600
720000,0.267400
730000,0.263400
740000,0.267400
750000,0.281400
760000,0.270000
770000,0.274600
780000,0.285600
790000,0.290400
800000,0.301800
810000,0.295200
820000,0.308800
830000,0.298800
840000,0.313200
850000,0.308800
860000,0.334000
870000,0.309600
880000,0.323000
890000,0.321800
900000,0.323400
910000,0.333000
920000,0.350400
930000,0.346000
940000,0.350200
950000,0.349400
960000,0.342400
970000,0.370600
980000,0.370200
990000,0.360400
1000000,0.361000
