size,time
10000,0.003000
20000,0.003000
30000,0.006400
40000,0.003000
50000,0.006400
60000,0.006400
70000,0.009400
80000,0.012600
90000,0.013800
100000,0.015800
110000,0.015600
120000,0.018800
130000,0.018800
140000,0.022000
150000,0.025000
160000,0.027400
170000,0.031400
180000,0.031400
190000,0.022200
200000,0.018800
210000,0.029600
220000,0.033200
230000,0.034400
240000,0.031400
250000,0.034600
260000,0.035000
270000,0.037800
280000,0.040800
290000,0.037400
300000,0.046400
310000,0.047200
320000,0.047200
330000,0.049400
340000,0.058400
350000,0.048000
360000,0.047800
370000,0.051000
380000,0.053000
390000,0.053800
400000,0.061200
410000,0.056400
420000,0.063400
430000,0.063000
440000,0.072200
450000,0.154400
460000,0.151000
470000,0.169800
480000,0.165400
490000,0.182600
500000,0.181000
510000,0.170000
520000,0.178400
530000,0.189800
540000,0.192000
550000,0.198200
560000,0.198400
570000,0.205800
580000,0.214800
590000,0.200600
600000,0.209400
610000,0.209200
620000,0.217400
630000,0.214400
640000,0.227400
650000,0.237400
660000,0.232000
670000,0.237200
680000,0.231800
690000,0.243200
700000,0.263600
710000,0.253400
720000,0.257800
730000,0.262800
740000,0.254800
750000,0.262400
760000,0.280200
770000,0.276400
780000,0.277400
790000,0.278200
800000,0.280800
810000,0.283200
820000,0.288000
830000,0.288400
840000,0.292000
850000,0.295400
860000,0.313000
870000,0.304800
880000,0.311200
890000,0.306600
900000,0.327600
910000,0.322800
920000,0.327800
930000,0.327000
940000,0.336600
950000,0.340400
960000,0.348600
970000,0.349600
980000,0.355000
990000,0.356400
1000000,0.360000
