size,time
10000,0.001400
20000,0.002600
30000,0.003800
40000,0.005200
50000,0.007400
60000,0.009600
70000,0.016200
80000,0.018200
90000,0.014600
100000,0.020200
110000,0.017400
120000,0.019000
130000,0.022200
140000,0.027800
150000,0.025200
160000,0.028000
170000,0.028000
180000,0.030600
190000,0.041400
200000,0.037000
210000,0.039600
220000,0.041400
230000,0.049200
240000,0.051000
250000,0.054800
260000,0.050800
270000,0.052200
280000,0.055400
290000,0.058800
300000,0.059200
310000,0.064000
320000,0.066800
330000,0.073200
340000,0.081600
350000,0.078800
360000,0.079000
370000,0.083200
380000,0.091200
390000,0.100200
400000,0.091600
410000,0.095000
420000,0.097600
430000,0.097000
440000,0.104000
450000,0.116000
460000,0.115400
470000,0.113600
480000,0.116600
490000,0.118600
500000,0.127800
510000,0.130200
520000,0.135000
530000,0.135600
540000,0.135200
550000,0.148800
560000,0.158000
570000,0.151600
580000,0.158000
590000,0.160200
600000,0.170800
610000,0.165400
620000,0.182200
630000,0.178400
640000,0.184600
650000,0.179800
660000,0.200200
670000,0.198400
680000,0.191800
690000,0.212600
700000,0.211200
710000,0.208200
720000,0.211600
730000,0.219800
740000,0.229400
750000,0.234600
760000,0.235800
770000,0.246600
780000,0.854600
790000,0.490000
800000,0.295400
810000,0.299800
820000,0.276800
830000,0.278000
840000,0.279200
850000,0.292800
860000,0.299400
870000,0.302000
880000,0.295200
890000,0.302200
900000,0.324400
910000,0.315400
920000,0.331600
930000,0.332200
940000,0.354200
950000,0.332600
960000,0.349200
970000,0.354000
980000,0.365800
990000,0.378200
1000000,0.355600
